Chipenrich_Colorectal_Cancer	Chipenrich_Alzheimer's_Disease	Chipenrich_Gastric_Cancer	Chipenrich_Prostate_Cancer	Chipenrich_Median_Sensitivity	Broadenrich_Colorectal_Cancer	Broadenrich_Alzheimer's_Disease	Broadenrich_Gastric_Cancer	Broadenrich_Prostate_Cancer	Broadenrich_Median_Sensitivity	Seq2pathway_Colorectal_Cancer	Seq2pathway_Alzheimer's_Disease	Seq2pathway_Gastric_Cancer	Seq2pathway_Prostate_Cancer	Seq2pathway_Median_Sensitivity	Enrichr_Colorectal_Cancer	Enrichr_Alzheimers_Disease	Enrichr_Gastric_Cancer	Enrichr_Prostate_Cancer	Enrichr_Median_Sensitivity	GREAT_Colorectal_Cancer	GREAT_Alzheimers_Disease	GREAT_Gastric_Cancer	GREAT_Prostate_Cancer	GREAT_Median_Sensitivity
37.5	71.42857	50	50	50	25	14.28571	12.5	20	17.142855	0	0	0	0	0	6.666667	0	12.5	11.11111	8.8888885					
43.75	42.85714	62.5	40	43.30357	50	14.28571	50	50	50	0	0	0	0	0	7.142857	0	12.5	11.11111	9.1269835					
62.5	42.85714	75	60	61.25	43.75	14.28571	37.5	50	40.625	0	0	0	0	0										
62.5	71.42857	62.5	70	66.25	31.25	0	37.5	50	34.375	0	0	0	0	0	18.75	28.57143	12.5	25	21.875					
43.75	57.14286	75	60	58.57143	43.75	14.28571	37.5	30	33.75	0	0	0	0	0	8.333333	14.28571	0	22.22222	11.3095215					
56.25	57.14286	37.5	40	48.125	56.25	42.85714	37.5	40	41.42857	0	0	0	0	0	6.25	14.28571	0	11.11111	8.680555					
25	28.57143	25	40	26.785715	25	14.28571	37.5	40	31.25	0	0	0	0	0	16.66667	0	12.5	0	6.25					
18.75	14.28571	12.5	20	16.517855	25	14.28571	25	60	25	0	0	NaN	0	0	0	0	0	0	0					
37.5	28.57143	50	50	43.75	37.5	42.85714	37.5	50	40.17857	0	0	0	0	0	0	0	0	0	0					
68.75	42.85714	62.5	50	56.25	25	28.57143	25	40	26.785715	0	0	0	0	0	0	0	0	0	0					
31.25	28.57143	62.5	50	40.625	56.25	57.14286	62.5	60	58.57143	0	0	0	0	0	7.692308	14.28571	0	0	3.846154					
37.5	28.57143	50	50	43.75	12.5	28.57143	12.5	20	16.25	0	0	0	0	0	7.142857	0	0	0	0					
50	28.57143	62.5	40	45	56.25	14.28571	62.5	50	53.125	0	0	0	0	0	0	14.28571	0	0	0					
56.25	57.14286	87.5	60	58.57143	50	42.85714	100	60	55	0	0	0	0	0	7.692308	0	0	0	0					
43.75	42.85714	87.5	70	56.875	68.75	28.57143	75	90	71.875	0	0	0	0	0	7.692308	0	0	0	0					
31.25	42.85714	75	50	46.42857	56.25	28.57143	100	50	53.125	0	0	0	0	0	7.692308	0	0	0	0					
37.5	14.28571	87.5	40	38.75	43.75	28.57143	62.5	20	36.160715	0	0	0	0	0	13.33333	0	0	0	0					
50	71.42857	50	60	55	37.5	42.85714	62.5	40	41.42857	0	0	0	0	0	0	0	0	0	0					
31.25	28.57143	62.5	40	35.625	50	42.85714	75	40	46.42857	0	0	0	0	0	0	0	0	0	0					
31.25	28.57143	75	40	35.625	62.5	57.14286	62.5	40	59.82143	0	0	0	0	0	0	0	0	0	0					
31.25	42.85714	75	40	41.42857	43.75	42.85714	37.5	50	43.30357	0	0	0	0	0	0	0	0	0	0					
25	42.85714	50	50	46.42857	31.25	0	12.5	20	16.25	0	0	0	0	0	16.66667	0	12.5	0	6.25					
18.75	28.57143	50	40	34.285715	43.75	14.28571	50	20	31.875	0	0	0	0	0	0	14.28571	0	0	0					
31.25	14.28571	62.5	30	30.625	37.5	14.28571	37.5	60	37.5	0	0	0	0	0	0	0	0	0	0					
25	28.57143	62.5	50	39.285715	62.5	42.85714	87.5	60	61.25	0	0	0	0	0	0	0	0	0	0					
31.25	71.42857	75	50	60.714285	56.25	28.57143	87.5	50	53.125	0	0	0	0	0	0	0	0	0	0					
31.25	57.14286	50	40	45	43.75	28.57143	62.5	60	51.875	0	0	0	0	0	0	0	0	0	0					
31.25	57.14286	25	30	30.625	68.75	42.85714	75	80	71.875	0	0	0	0	0	15.38462	28.57143	0	11.11111	13.247865					
43.75	28.57143	75	50	46.875	37.5	42.85714	37.5	60	40.17857	0	0	0	0	0	0	0	0	0	0					
37.5	57.14286	62.5	40	48.57143	50	28.57143	75	50	50	0	0	0	0	0	0	0	0	0	0					
37.5	42.85714	62.5	50	46.42857	62.5	28.57143	62.5	50	56.25	0	0	0	0	0	8.333333	0	0	0	0					
37.5	57.14286	62.5	60	58.57143	37.5	14.28571	50	50	43.75	0	0	0	0	0	0	42.85714	0	0	0					
37.5	28.57143	87.5	50	43.75	37.5	14.28571	62.5	70	50	0	0	0	0	0	0	0	0	0	0					
56.25	57.14286	62.5	60	58.57143	62.5	28.57143	87.5	70	66.25	0	0	0	0	0	7.692308	14.28571	0	0	3.846154					
37.5	42.85714	50	50	46.42857	37.5	14.28571	25	30	27.5	0	0	0	0	0	7.142857	0	0	0	0					
18.75	42.85714	25	20	22.5	37.5	28.57143	62.5	40	38.75	0	0	0	0	0	13.33333	14.28571	0	0	6.666665					
25	42.85714	37.5	30	33.75	31.25	28.57143	50	50	40.625	0	0	0	0	0	6.666667	14.28571	0	0	3.3333335					
31.25	28.57143	62.5	40	35.625	43.75	28.57143	62.5	50	46.875	0	0	0	0	0	7.142857	14.28571	0	0	3.5714285					
31.25	42.85714	50	50	46.42857	31.25	28.57143	50	50	40.625	0	0	0	0	0	0	0	0	0	0					
37.5	42.85714	62.5	40	41.42857	50	42.85714	62.5	40	46.42857	0	0	0	0	0	0	0	0	0	0					
18.75	0	25	10	14.375	31.25	28.57143	50	10	29.910715	0	0	0	0	0	0	0	0	0	0					
18.75	14.28571	37.5	20	19.375	25	14.28571	50	30	27.5	0	0	0	0	0	0	0	0	0	0					
18.75	14.28571	37.5	20	19.375	37.5	0	50	30	33.75	0	0	0	0	0	0	42.85714	0	0	0					
